,amenities
67,"{tv,""cable tv"",internet,wifi,""air conditioning"",""wheelchair accessible"",kitchen,""smoking allowed"",""pets live on this property"",dog(s),""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""pocket wifi"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
68,"{internet,wifi,""free parking on premises"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance""}"
69,"{tv,internet,wifi,kitchen,""pets live on this property"",dog(s),cat(s),""free street parking"",""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""host greets you"",""shower gel"",""baking sheet"",""trash can"",""bread maker""}"
70,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
71,"{tv,internet,wifi,kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",""coffee maker"",""luggage dropoff allowed"",""long term stays allowed""}"
72,"{tv,internet,wifi,kitchen,""pets live on this property"",""other pet(s)"",""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",essentials,shampoo,""hair dryer"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""garden or backyard"",""host greets you""}"
73,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""high chair"",""children’s books and toys"",""pack ’n play/travel crib"",""hot water"",""long term stays allowed""}"
74,"{tv,internet,wifi,""air conditioning"",""wheelchair accessible"",kitchen,""free parking on premises"",""pets allowed"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance""}"
75,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets allowed"",""pets live on this property"",dog(s),cat(s),heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",hangers,""laptop-friendly workspace""}"
76,"{tv,""cable tv"",internet,wifi,""wheelchair accessible"",kitchen,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,""patio or balcony"",""garden or backyard"",""long term stays allowed"",""shower gel""}"
77,"{internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""fire extinguisher"",""24-hour check-in"",""laptop-friendly workspace"",""private entrance"",""hot water""}"
78,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
79,"{wifi,""free parking on premises""}"
80,"{tv,wifi,kitchen,""free parking on premises"",""pets allowed"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",bathtub,""children’s books and toys"",""pack ’n play/travel crib"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
81,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets allowed"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""host greets you""}"
82,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",gym,""free street parking"",""buzzer/wireless intercom"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",lockbox,""hot water"",""luggage dropoff allowed"",""long term stays allowed""}"
83,"{tv,internet,wifi,kitchen,""free parking on premises"",""pets live on this property"",cat(s),heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
84,"{tv,internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
85,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer}"
86,"{""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets live on this property"",cat(s),""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,iron}"
87,"{wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,""pets live on this property"",dog(s),""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""high chair"",""fireplace guards"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""ev charger"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
88,"{tv,internet,wifi,kitchen,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
89,"{tv,internet,wifi,kitchen,""free parking on premises"",""pets live on this property"",cat(s),heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
90,"{tv,internet,wifi,kitchen,""free parking on premises"",""pets live on this property"",cat(s),heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
91,"{""cable tv"",internet,wifi,""wheelchair accessible"",pool,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",hangers,iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,oven,stove}"
92,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""indoor fireplace"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo}"
93,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",""well-lit path to entrance""}"
94,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets allowed"",""free street parking"",""hot tub"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,hangers,""hair dryer"",iron,""laptop-friendly workspace"",microwave,""coffee maker"",""dishes and silverware""}"
95,"{tv,internet,wifi,kitchen,""free parking on premises"",""pets live on this property"",cat(s),""free street parking"",""indoor fireplace"",""buzzer/wireless intercom"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""wide entrance for guests"",""well-lit path to entrance"",other}"
96,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",elevator,""free street parking"",heating,washer,dryer,""smoke alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
97,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",bathtub,""high chair"",""pack ’n play/travel crib"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
98,"{tv,""cable tv"",wifi,""air conditioning"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""long term stays allowed""}"
99,"{tv,internet,wifi,kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed"",""barbecue utensils"",""trash can""}"
100,"{internet,wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",""smart lock"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,""cooking basics"",oven,stove,""luggage dropoff allowed"",""long term stays allowed""}"
